RunNumber,127
10,25200-84600,83700-107700,114900-196500,203400-307200,313800-401700,499500-12000000
11,499500-12000000
12,499500-12000000
13,0-12000000
14,499500-12000000
15,499500-12000000
16,499500-12000000
17,499500-12000000
18,499500-12000000
19,499500-12000000
